company,booth_no,booth_id
"Toyo Adtec co., Ltd.",Q5946,653902
"TOYO AUTOMATION CO., LTD.",J3054,651622
"T-PARUS TECHNOLOGY CO., LTD.",S8152,696547
TQC PRECISION ENGINEERING PTE. LTD,P6022,697888
Tracoworld Ltd.,R8104,696144
"Transworld Steel Enterprise Co., Ltd.",P5512,696318
Trebor International,L0204,652228
Trelleborg Sealing Solutions Taiwan Co. Ltd,L0020,652157
Tricorntech Corporation,R7106,650144
"Trident Green Environmental Technology Co., Ltd.",L0916,683514
"TrInity Analysis Tech Co., Ltd.",Q5230,653505
TRIPOD Technology Corporation,J2352,651586
"Tronic Purity, Inc.",I2210,651123
Tronstek International Inc.,I3228,662296
"TRUMPF Taiwan Industries Co., Ltd.",P6206,654182
"TRUST CLEAN TECHNOLOGY CO., LTD.",K2175,661804
Trusval Technology Co. Ltd.,R7512,650200
"TS RF Instruments Co., Ltd.",J3241,655788
"TSE Co., Ltd.",J3034,651422
TSI INCORPORATED,P6118,655603
"Tuner Technology Co., Ltd.",L0009,652146
TURBO FORTUNE TECHNOLOGY INC.,P6021,653714
TurboNext.ai,T9404,698079
Turnkey Solutions Technology LTD.,R8100,696142
U.K. TECHNOLOGY CORP.,N0689,653244
"Uangyih-Tech Industrial Co., Ltd.",R7800,650359
"Ucome Tech Co., Ltd",L1309,653353
Ueki Corporation,T9062,661937
"Ueno Seiki Co., Ltd.",I3305,651994
UK Pavilion,I3000,651034
"Ultraband Technologies, Inc.",I3307,651986
"ULTRA-PAK INDUSTRIES CO., LTD.",Q5652,653944
ULVAC Taiwan Inc.,P5206,653579
Umicore Thin Film Products AG,N0192,653284
"Underwriters Laboratories Taiwan Co., Ltd.",M0939,652650
Unice E-O Services Inc.,S8136,650835
"Uni-Crown Co., Ltd.",R7205,650127
Union Square International Corp.,T9209,661986
UNITECHNO INC.,S7004,650867
"United C&N Co., Ltd.",P5600,697882
"United Precision Technologies Co.,Ltd.",K2985,651890
United Silicon Innovation Corp.,L1024,652485
UniTest Taiwan,J3046,651542
"Ushio Taiwan, Inc.",M0358,652881
"USUN TECHNOLOGY CO., LTD",N1383,653427
USYNC INC.,Q5352,697516
"Utechzone Co., Ltd.",N1170,653039
"UTRUN-TECH CO., LTD.",S7641,650552
"UVAT Technology Co., Ltd.",M1254,653398
"Valex Semiconductor Materials (zhejiang) Co.,Ltd",Q5135,654708
VALUE IMPACT CORPORATION TAIWAN BRANCH,J2739,651453
"VALUE VALVES CO., LTD.",R7621,650268
"VASTI TECHNOLOGIES CO., LTD",R8119,650259
"VAT Taiwan Co, Ltd.",M0942,652700
"Vector Japan Co.,Ltd",L0207,652253
VECTOR PHOTONICS LIMITED,I3000,697835
Veego Corporation,H0015,679924
Vellex Computing,T9404,698077
VEOLIA,R7324,697864
Vermes Microdispensing GmbH,R7112,698131
Vero Veria Corporation,R7500,650085
Vervesemi Microelectronics Pvt Ltd,R8323,650823
Vieworks Co.，Ltd.,T9616,662048
VIMIC Electronic Corp.,N0366,656082
VISION IV Corporation,T9404,698078
ViTrox Technologies Sdn. Bhd.,P6006,697907
"V-Tech Precision Co., Ltd",Q5159,654245
VX Instruments GmbH,R7112,698132
"WA NEW TECHNOLOGY CO., LTD.",P5612,653647
"WACOM TAIWAN CO., LTD.",L0027,653332
Wafer Works Corporation,J3353,652030
Waftech Sdn. Bhd.,I2916,655765
Wah Lee Industrial Corp.,S7936,650514
Watty Corporation,L0008,652144
WAVE PHOTONICS LTD,I3000,697832
WEBB LTD.,N0040,652174
"WEISUN INDUSTRIAL CO., LTD.",P5712,653649
"WELL THIN TECHNOLOGY, LTD.",S8246,662128
Weltall Technology Corporation,P5106,653447
Werner Lieb GmbH,R7112,698134
WESI Technology Limited,I2428,651252
"WEXTEN PRECISE INDUSTRIES CO., LTD.",Q5352,697508
"White Knight Fluid Handling, Inc.",I2100,650937
WIN Semiconductors Corp.,J3234,652017
"Win Win Precision Technology Co., Ltd.",K3060,651421
"Winchain Material Technology CO.,LTD.",P6219,655612
Wings Global Technology Inc.,S7546,697415
WINIFRED INTERNATIONAL TECHNOLOGY LIMITED TAIWAN BRANCH,P5319,653688
"WINSON MACHINERY CO., LTD.",Q5352,697510
"WinWay Technology Co., Ltd.",K2776,651808
"Wire Technology Co., Ltd.",L0810,655968
Wisdom Power International Corporation LTD,L0017,652155
"WITH SYSTEM CO.,LTD.",R7312,697751
"Wonik Quartz Taiwan Co.,LTD",S7844,650619
"World Diamond Materials Co.,Ltd.",S7546,655657
"Xinxiang Shengda Filtration Technique Co.,Ltd",T9056,661928
"xMEMS Labs,Inc.",T9504,662004
Xtreme Testek Inc.,T9143,661967
"YAHO System Technology Co., Ltd.",S7152,650698
Yamaguchi Industrial Promotion Foundation,H0040,693473
YASKAWA ELECTRIC TAIWAN CORPORATION,P5704,653569
"Yeh Jeh Co., Ltd",T9211,661958
Yen Ann Technology Company Limited,Q5942,653873
YeSiang Enterprise Co. Ltd,R7300,650356
"Yeson Waterteatment Co., LTD.",S7001,650863
Yield Engineering Systems,N1276,653421
"YJ STAINLESS CO., LTD.",P5222,653717
"YMT CO.,LTD TAIWAN BRANCH (KOREA)",Q5958,654170
YODN Lighting Corp.,K2489,651919
"Yodogawa Taiwan Co., Ltd.",I2523,651253
Yonata Electronics,T9508,661977
YoungTek Electronics Corp.,K2976,651812
"YU PENG TECHNOLOGY CO., LTD.",R7605,650132
"Yu Shyan System Technology Materials Co., Ltd.",K2970,651752
"YUAN JING PRECISION CO., LTD.",S7002,697368
YU-CHEN SYSTEM TECHNOLOGY CORP.,P5306,653582
"YUDEN-TECH CO., LTD.",P5305,653559
Yuhon Enterprise Corporation,L0830,652554
YUJAY Technology Inc.,J2838,651457
"Yujeong System Co., Ltd.",R7312,697747
ZEN VOCE CORPORATION,P5900,653531
Zeon Corporation,S7830,655640
Zero One Semiconductor Technology (Changzhou) Co. Ltd.,H0034,697881
Zestron Taiwan Ltd.,X0018,654311
"ZhangJiaGang AnChu Technology CO.,LTD.",J3253,651604
"Zhejiang Futong Quartz New Material Co.,Ltd",X0026,654317
"Zhejiang Hangke Instrument Co., Ltd.",T9210,661962
"ZheJiang OPAL Quartz Tech Co.,Ltd",J2653,656093
"Zhejiang Yuanxin Advanced Material Co.,Ltd",T9110,661956
"ZHI HUI CO., LTD.",Q5153,654242
"Zhonghuan Advanced Semiconductor Technology Co.,Ltd.",S7446,650642
"Zhongshan MEISU Technology Co.,Ltd.",X0008,654323
"ZI YI ELECTRICAL ENGINEERING CO., LTD.",R7912,650206
"Zillion Tek Co., Ltd",N0382,653167
"Zimmerman Scientific Co., Ltd.",S8331,650827
"Z-MAX SYSTEM CONTROL CO., LTD.",S7010,650873
